"date","avg","min","max"
19510101,1,-3.1,3.7
19510102,1.6,0.3,2.8
19510103,1.1,-0.2,2.3
19510104,1.8,0.5,3.3
19510105,5.8,2.4,8.5
19510106,7.4,6,9
19510107,6.8,5.4,9.2
19510108,6,3.9,7.6
19510109,4,-0.3,6.5
19510110,2.6,-2.5,6.8
19510111,6.8,4.9,8.1
19510112,4.7,2.3,7.7
19510113,3.8,1.5,5.8
19510114,3.8,0.4,6.4
19510115,4.1,2.3,5.7
19510116,3.8,2,6.3
19510117,5.6,2.2,8.8
19510118,6,4.3,8
19510119,5.2,3.2,6.7
19510120,4.6,0.3,6.6
19510121,2.5,-0.1,5.1
19510122,5.6,2.5,7.5
19510123,5.2,2.3,7.3
19510124,2.9,1,5.4
19510125,1.1,-1,3.1
19510126,1.2,-0.8,3.1
19510127,3.3,0.7,6.3
19510128,0.4,-1.3,2
19510129,0.1,-0.9,1.1
19510130,0.7,-0.5,2.6
19510131,0,-1.2,0.9
19510201,1.2,-0.7,3.2
19510202,1.3,-1.8,3.8
19510203,0.4,-1.4,2.4
19510204,4.3,0.2,8.7
19510205,6.2,3.7,8.8
19510206,4.5,2.1,6.7
19510207,3.4,0.8,6.5
19510208,6,1.6,11.1
19510209,9.5,6.4,12.2
19510210,4.6,1.6,6.9
19510211,3.4,0.8,5.5
19510212,5.1,2.2,10.7
19510213,2.6,0,5.3
19510214,1.6,-0.1,4.7
19510215,3.3,0.2,5
19510216,2.4,-1.6,5.7
19510217,5.5,2,8.2
19510218,3.5,1.2,5.8
19510219,4.1,1.6,7.1
19510220,5.1,1.8,8.6
19510221,4.2,0.9,6.4
19510222,3.8,0.9,8.5
19510223,3.4,0.7,6.1
19510224,3.5,0.3,6.9
19510225,3.8,0.3,10
19510226,2.4,-1.5,7.1
19510227,0.8,-2.2,4.7
19510228,-0.8,-3.9,2.6
19510301,-0.4,-5.1,2.1
19510302,0.1,-2.5,3.5
19510303,-0.6,-3.7,4.1
19510304,0.1,-4.8,6.6
19510305,0.2,-5.8,7.3
19510306,2.2,-2.9,8.4
19510307,3.4,-2.3,11.7
19510308,0.6,-1.3,2.5
19510309,0.2,-2.1,1.7
19510310,0.2,-2,2.2
19510311,4.5,1.2,10.6
19510312,5.8,2.9,10.1
19510313,10,4.5,16.5
19510314,7.6,5.1,9.7
19510315,6.4,1.8,10
19510316,7.2,0.5,13.4
19510317,11.3,8.1,13.6
19510318,9.3,5.7,12.5
19510319,4,-1.2,7.5
19510320,1.2,-2,5.5
19510321,2.5,-3.2,8.2
19510322,4.9,1.9,9.5
